"Instytucja wybierana";"Kod terytorialny";"Nr okręgu";"Liczba mandatów";"Liczba komitetów";"Liczba kandydatów";"Liczba wyborców";"Granice okręgu wyborczego"
"Senat";"SNT/6";"6";"1";"5";"5";"475471";"powiaty: górowski, milicki, oleśnicki, oławski, strzeliński, średzki, trzebnicki, wołowski, wrocławski"
"Senat";"SNT/7";"7";"1";"3";"3";"234415";"część obszaru miasta na prawach powiatu Wrocław: Bieńkowice, Biskupin - Sępolno - Dąbie - Bartoszowice, Borek, Brochów, Gaj, Gajowice, Grabiszyn - Grabiszynek, Huby, Jagodno, Klecina, Krzyki - Partynice, Księże, Oporów, Plac Grunwaldzki, Powstańców Śląskich, Przedmieście Oławskie, Przedmieście Świdnickie, Stare Miasto, Tarnogaj, Wojszyce - Ołtaszyn, Zacisze - Zalesie - Szczytniki"
"Senat";"SNT/8";"8";"1";"3";"3";"263255";"część obszaru miasta na prawach powiatu Wrocław: Gądów-Popowice Pd, Jerzmanowo - Jarnołtów - Strachowice - Osiniec, Karłowice - Różanka, Kleczków, Kowale, Kużniki, Leśnica, Lipa Piotrowska, Maślice, Muchobór Mały, Muchobór Wielki, Nadodrze, Nowy Dwór, Ołbin, Osobowice - Rędzin, Pawłowice, Pilczyce - Kozanów - Popowice, Polanowice - Poświętne - Ligota, Pracze Odrzańskie, Psie Pole - Zawidawie, Sołtysowice, Swojczyce - Strachocin - Wojnów, Szczepin, Świniary, Widawa, Żerniki"
"Senat";"SNT/9";"9";"1";"8";"8";"484224";"powiaty: bydgoski, świecki, tucholski oraz miasto na prawach powiatu: Bydgoszcz"
"Senat";"SNT/10";"10";"1";"4";"4";"328355";"powiaty: inowrocławski, mogileński, nakielski, sępoleński, żniński"
"Senat";"SNT/11";"11";"1";"5";"5";"275037";"powiaty: chełmiński, toruński oraz miastu na prawach powiatu: Toruń"
"Senat";"SNT/12";"12";"1";"5";"5";"268594";"powiaty: brodnicki, golubsko-dobrzyński, grudziądzki, rypiński, wąbrzeski oraz miasto na prawach powiatu: Grudziądz"
"Senat";"SNT/13";"13";"1";"4";"4";"297536";"powiaty: aleksandrowski, lipnowski, radziejowski, włocławski oraz miasto na prawach powiatu: Włocławek"
"Senat";"SNT/14";"14";"1";"7";"7";"354078";"powiaty: lubartowski, łukowski, opolski, puławski, rycki"
"Senat";"SNT/15";"15";"1";"7";"7";"339028";"powiaty: janowski, kraśnicki, lubelski, łęczyński, świdnicki"
"Senat";"SNT/16";"16";"1";"6";"6";"276983";"miasto na prawach powiatu: Lublin"
"Senat";"SNT/17";"17";"1";"5";"5";"216354";"powiaty: bialski, parczewski, radzyński oraz miasto na prawach powiatu: Biała Podlaska"
"Senat";"SNT/18";"18";"1";"5";"5";"209847";"powiaty: chełmski, krasnostawski, włodawski oraz miasta na prawach powiatu: Chełm"
"Senat";"SNT/19";"19";"1";"8";"8";"356484";"powiaty: biłgorajski, hrubieszowski, tomaszowski, zamojski oraz miasta na prawach powiatu: Zamość"
"Senat";"SNT/20";"20";"1";"4";"4";"256647";"powiaty: krośnieński, świebodziński, zielonogórski oraz miasta na prawach powiatu: Zielona Góra"
"Senat";"SNT/21";"21";"1";"5";"5";"306166";"powiaty: gorzowski, międzyrzecki, strzelecko-drezdenecki, słubicki, sulęciński oraz miasta na prawach powiatu: Gorzów Wielkopolski"
"Senat";"SNT/22";"22";"1";"4";"4";"245201";"powiaty: nowosolski, wschowski, żagański, żarski"
"Senat";"SNT/23";"23";"1";"5";"5";"338848";"część obszaru miasta na prawach powiatu Łódź: Osiedle Bałuty Zachodnie, Osiedle Bałuty-Centrum, Osiedle Bałuty-Doły, Osiedle im. Józefa Montwiłła-Mireckiego, Osiedle Julianów-Marysin-Rogi, Osiedle Karolew-Retkinia Wschód, Osiedle Katedralna, Osiedle Koziny, Osiedle Lublinek-Pienista, Osiedle Łagiewniki, Osiedle Nad Nerem, Osiedle Radogoszcz, Osiedle Retkinia Zachód-Smulsko, Osiedle Stare Polesie, Osiedle Śródmieście-Wschód, Osiedle Teofilów-Wielkopolska, Osiedle Zdrowie-Mania, Osiedle Złotno"
"Senat";"SNT/24";"24";"1";"4";"4";"328279";"powiaty: brzeziński, łódzki wschodni oraz część obszaru miasta na prawach powiatu Łódź: Osiedle Andrzejów, Osiedle Chojny, Osiedle Chojny-Dąbrowa, Osiedle Dolina Łódki, Osiedle Górniak, Osiedle Mileszki, Osiedle Nowosolna, Osiedle Nr 33, Osiedle Olechów-Janów, Osiedle Piastów-Kurak, Osiedle Rokicie, Osiedle Ruda, Osiedle Stary Widzew, Osiedle Stoki, Osiedle Widzew-Wschód, Osiedle Wiskitno, Osiedle Wzniesień Łódzkich, Osiedle Zarzew"
"Senat";"SNT/25";"25";"1";"7";"7";"229522";"powiaty: kutnowski, łęczycki, łowicki, poddębicki"
"Senat";"SNT/26";"26";"1";"4";"4";"271729";"powiaty: łaski, pabianicki, zgierski"
"Senat";"SNT/27";"27";"1";"5";"5";"292883";"powiaty: pajęczański, sieradzki, wieluński, wieruszowski, zduńskowolski"
